"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\GribStubImagePlugin.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 76
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\Hdf5StubImagePlugin.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 76
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\IcnsImagePlugin.py", "Python", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 34, 55, 412
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\IcoImagePlugin.py", "Python", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 61, 66, 382
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImImagePlugin.py", "Python", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 65, 67, 390
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\Image.py", "Python", 0, 3255, 0, 0, 0, 0, 0, 0, 0, 0, 219, 764, 4238
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageChops.py", "Python", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 16, 104, 312
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageCms.py", "Python", 0, 858, 0, 0, 0, 0, 0, 0, 0, 0, 47, 221, 1126
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageColor.py", "Python", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 25, 27, 321
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageDraw.py", "Python", 0, 1046, 0, 0, 0, 0, 0, 0, 0, 0, 67, 119, 1232
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageDraw2.py", "Python", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 21, 44, 244
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageEnhance.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 114
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageFile.py", "Python", 0, 675, 0, 0, 0, 0, 0, 0, 0, 0, 90, 157, 922
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageFilter.py", "Python", 0, 453, 0, 0, 0, 0, 0, 0, 0, 0, 40, 112, 605
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageFont.py", "Python", 0, 1103, 0, 0, 0, 0, 0, 0, 0, 0, 61, 176, 1340
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageGrab.py", "Python", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 195
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageMath.py", "Python", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 31, 79, 369
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageMode.py", "Python", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 93
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\ImageMorph.py", "Python", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 19, 53, 266
